century	postnominal	total	text	weight	type
9	1	9	coalex.o23.psd	Light	ProperN
9	0	9	coalex.o23.psd	Light	ProperN
9	0	9	coalex.o23.psd	Light	ProperN
9	0	9	coalex.o23.psd	Light	ProperN
9	0	9	coalex.o23.psd	Light	ProperN
9	0	9	coalex.o23.psd	Light	ProperN
9	0	9	coalex.o23.psd	Light	ProperN
9	0	9	coalex.o23.psd	Light	ProperN
9	0	9	coalex.o23.psd	Light	ProperN
9	1	447	cobede.o2.psd	Light	ProperN
9	1	447	cobede.o2.psd	Light	ProperN
9	1	447	cobede.o2.psd	Light	ProperN
9	1	447	cobede.o2.psd	Light	ProperN
9	1	447	cobede.o2.psd	Light	ProperN
9	1	447	cobede.o2.psd	Light	ProperN
9	1	447	cobede.o2.psd	Light	ProperN
9	1	447	cobede.o2.psd	Light	ProperN
9	1	447	cobede.o2.psd	Light	ProperN
9	1	447	cobede.o2.psd	Light	ProperN
9	1	447	cobede.o2.psd	Light	ProperN
9	1	447	cobede.o2.psd	Light	ProperN
9	1	447	cobede.o2.psd	Light	ProperN
9	1	447	cobede.o2.psd	Light	ProperN
9	0	447	cobede.o2.psd	Light	ProperN
9	0	447	cobede.o2.psd	Light	ProperN
9	0	447	cobede.o2.psd	Light	ProperN
9	0	447	cobede.o2.psd	Light	ProperN
9	0	447	cobede.o2.psd	Light	ProperN
9	0	447	cobede.o2.psd	Light	ProperN
9	0	447	cobede.o2.psd	Light	ProperN
9	0	447	cobede.o2.psd	Light	ProperN
9	0	447	cobede.o2.psd	Light	ProperN
9	0	447	cobede.o2.psd	Light	ProperN
9	0	447	cobede.o2.psd	Light	ProperN
9	0	447	cobede.o2.psd	Light	ProperN
9	0	447	cobede.o2.psd	Light	ProperN
9	0	447	cobede.o2.psd	Light	ProperN
9	0	447	cobede.o2.psd	Light	ProperN
9	0	447	cobede.o2.psd	Light	ProperN
9	0	447	cobede.o2.psd	Light	ProperN
9	0	447	cobede.o2.psd	Light	ProperN
9	0	447	cobede.o2.psd	Light	ProperN
9	0	447	cobede.o2.psd	Light	ProperN
9	0	447	cobede.o2.psd	Light	ProperN
9	0	447	cobede.o2.psd	Light	ProperN
9	0	447	cobede.o2.psd	Light	ProperN
9	0	447	cobede.o2.psd	Light	ProperN
9	0	447	cobede.o2.psd	Light	ProperN
9	0	447	cobede.o2.psd	Light	ProperN
9	0	447	cobede.o2.psd	Light	ProperN
9	0	447	cobede.o2.psd	Light	ProperN
9	0	447	cobede.o2.psd	Light	ProperN
9	0	447	cobede.o2.psd	Light	ProperN
9	0	447	cobede.o2.psd	Light	ProperN
9	0	447	cobede.o2.psd	Light	ProperN
9	0	447	cobede.o2.psd	Light	ProperN
9	0	447	cobede.o2.psd	Light	ProperN
9	0	447	cobede.o2.psd	Light	ProperN
9	0	447	cobede.o2.psd	Light	ProperN
9	0	447	cobede.o2.psd	Light	ProperN
9	0	447	cobede.o2.psd	Light	ProperN
9	0	447	cobede.o2.psd	Light	ProperN
9	0	447	cobede.o2.psd	Light	ProperN
9	0	447	cobede.o2.psd	Light	ProperN
9	0	447	cobede.o2.psd	Light	ProperN
9	0	447	cobede.o2.psd	Light	ProperN
9	0	447	cobede.o2.psd	Light	ProperN
9	0	447	cobede.o2.psd	Light	ProperN
9	0	447	cobede.o2.psd	Light	ProperN
9	0	447	cobede.o2.psd	Light	ProperN
9	0	447	cobede.o2.psd	Light	ProperN
9	0	447	cobede.o2.psd	Light	ProperN
9	0	447	cobede.o2.psd	Light	ProperN
9	0	447	cobede.o2.psd	Light	ProperN
9	0	447	cobede.o2.psd	Light	ProperN
9	0	447	cobede.o2.psd	Light	ProperN
9	0	447	cobede.o2.psd	Light	ProperN
9	0	447	cobede.o2.psd	Light	ProperN
9	0	447	cobede.o2.psd	Light	ProperN
9	0	447	cobede.o2.psd	Light	ProperN
9	0	447	cobede.o2.psd	Light	ProperN
9	0	447	cobede.o2.psd	Light	ProperN
9	0	447	cobede.o2.psd	Light	ProperN
9	0	447	cobede.o2.psd	Light	ProperN
9	0	447	cobede.o2.psd	Light	ProperN
9	0	447	cobede.o2.psd	Light	ProperN
9	0	447	cobede.o2.psd	Light	ProperN
9	0	447	cobede.o2.psd	Light	ProperN
9	0	447	cobede.o2.psd	Light	ProperN
9	0	447	cobede.o2.psd	Light	ProperN
9	0	447	cobede.o2.psd	Light	ProperN
9	0	447	cobede.o2.psd	Light	ProperN
9	0	447	cobede.o2.psd	Light	ProperN
9	0	447	cobede.o2.psd	Light	ProperN
9	0	447	cobede.o2.psd	Light	ProperN
9	0	447	cobede.o2.psd	Light	ProperN
9	0	447	cobede.o2.psd	Light	ProperN
9	0	447	cobede.o2.psd	Light	ProperN
9	0	447	cobede.o2.psd	Light	ProperN
