century	prenominal	postnominal	total	postnominal_genitive	text	weight	type
9	8	1	9	0.111111111	coalex.o23.psd	Light	ProperN
9	433	14	447	0.031319911	cobede.o2.psd	Light	ProperN
9	31	2	33	0.060606061	coboeth.o2.psd	Light	ProperN
9	5	0	5	0	cochad.o24.psd	Light	ProperN
9	3	0	3	0	cochristoph.psd	Light	ProperN
9	125	1	126	0.007936508	cochronA.o23.psd	Light	ProperN
9	96	2	98	0.020408163	cocura.o2.psd	Light	ProperN
9	4	0	4	0	cocuraC.psd	Light	ProperN
9	126	5	131	0.038167939	cogregdC.o24.psd	Light	ProperN
9	7	0	7	0	colaece.o2.psd	Light	ProperN
9	5	0	5	0	colawafint.o2.psd	Light	ProperN
9	7	0	7	0	comart1.psd	Light	ProperN
9	13	0	13	0	comart2.psd	Light	ProperN
9	122	1	123	0.008130081	comart3.o23.psd	Light	ProperN
9	3	0	3	0	comarvel.o23.psd	Light	ProperN
9	12	0	12	0	comary.psd	Light	ProperN
9	22	0	22	0	conicodA.psd	Light	ProperN
9	13	0	13	0	conicodC.psd	Light	ProperN
9	2	0	2	0	conicodD.psd	Light	ProperN
9	2	0	2	0	conicodE.psd	Light	ProperN
9	299	0	299	0	coorosiu.o2.psd	Light	ProperN
9	2	1	3	0.333333333	coprefcura.o2.psd	Light	ProperN
9	1	0	1	0	coprefsolilo.psd	Light	ProperN
9	9	0	9	0	cosolilo.psd	Light	ProperN
10	39	0	39	0	cobenrul.o3.psd	Light	ProperN
10	156	0	156	0	coblick.o23.psd	Light	ProperN
10	55	0	55	0	cochdrul.psd	Light	ProperN
10	2	0	2	0	codocu2.o2.psd	Light	ProperN
10	12	0	12	0	coeuphr.psd	Light	ProperN
10	54	0	54	0	cogregdH.o23.psd	Light	ProperN
10	2	0	2	0	coherbar.psd	Light	ProperN
10	8	0	8	0	comargaC.o34.psd	Light	ProperN
10	6	1	7	0.142857143	coneot.psd	Light	ProperN
10	20	0	20	0	corood.psd	Light	ProperN
10	12	0	12	0	cosevensl.psd	Light	ProperN
10	111	2	113	0.017699115	coverhom.psd	Light	ProperN
10	13	0	13	0	coverhomE.psd	Light	ProperN
10	3	0	3	0	coverhomL.psd	Light	ProperN
10	21	0	21	0	covinsal.psd	Light	ProperN
10	273	3	276	0.010869565	cowsgosp.o3.psd	Light	ProperN
11	229	0	229	0	coaelhom.o3.psd	Light	ProperN
11	318	2	320	0.00625	coaelive.o3.psd	Light	ProperN
11	15	0	15	0	coalcuin.psd	Light	ProperN
